County,Date,Cases
Scotland,3/29/20,1
Scotland,3/20/20,1
Stanly,4/3/20,2
Stanly,3/29/20,3
Stanly,3/27/20,1
Stanly,3/23/20,1
Stokes,4/3/20,2
Stokes,4/1/20,3
Surry,4/4/20,1
Surry,3/29/20,1
Surry,3/25/20,1
Swain,3/27/20,1
Transylvania,3/31/20,2
Transylvania,3/27/20,1
Transylvania,3/25/20,1
Transylvania,3/24/20,1
Union,4/4/20,4
Union,4/3/20,4
Union,4/2/20,7
Union,4/1/20,8
Union,3/31/20,6
Union,3/29/20,8
Union,3/28/20,3
Union,3/27/20,3
Union,3/26/20,8
Union,3/25/20,3
Union,3/24/20,1
Union,3/23/20,3
Union,3/22/20,4
Union,3/21/20,3
Union,3/19/20,1
Union,3/18/20,1
Vance,4/4/20,1
Vance,4/3/20,2
Vance,4/2/20,2
Vance,4/1/20,1
Vance,3/31/20,1
Vance,3/28/20,1
Vance,3/24/20,1
Vance,3/23/20,1
Wake,4/4/20,22
Wake,4/3/20,32
Wake,4/2/20,19
Wake,4/1/20,35
Wake,3/31/20,13
Wake,3/30/20,34
Wake,3/29/20,12
Wake,3/28/20,11
Wake,3/27/20,18
Wake,3/26/20,21
Wake,3/25/20,11
Wake,3/24/20,7
Wake,3/23/20,14
Wake,3/22/20,3
Wake,3/21/20,17
Wake,3/20/20,7
Wake,3/19/20,3
Wake,3/18/20,5
Wake,3/17/20,2
Wake,3/16/20,1
Wake,3/15/20,3
Wake,3/14/20,2
Wake,3/13/20,1
Wake,3/12/20,1
Wake,3/9/20,6
Wake,3/3/20,1
Warren,4/3/20,1
Washington,4/3/20,1
Washington,4/1/20,1
Washington,3/29/20,1
Watauga,4/1/20,1
Watauga,3/31/20,1
Watauga,3/27/20,2
Watauga,3/24/20,1
Watauga,3/18/20,1
Watauga,3/15/20,1
Wayne,4/3/20,5
Wayne,4/2/20,2
Wayne,3/31/20,1
Wayne,3/30/20,1
Wayne,3/27/20,1
Wayne,3/24/20,1
Wayne,3/13/20,1
Wilkes,4/2/20,2
Wilkes,3/30/20,2
Wilson,4/4/20,2
Wilson,4/3/20,1
Wilson,4/2/20,5
Wilson,3/31/20,2
Wilson,3/30/20,3
Wilson,3/28/20,3
Wilson,3/26/20,1
Wilson,3/24/20,2
Wilson,3/23/20,1
Wilson,3/21/20,1
Wilson,3/19/20,1
Wilson,3/15/20,1
Yadkin,4/3/20,1
Yadkin,4/2/20,2
Yadkin,3/31/20,1
Yadkin,3/30/20,1
Yadkin,3/29/20,1
